HG00148	HG00148
HG00150	HG00150
HG00155	HG00155
HG00117	HG00117
HG00124	HG00124
HG00136	HG00136
HG00143	HG00143
HG00129	HG00129
HG00131	HG00131
HG00100	HG00100
HG00105	HG00105
HG00097	HG00097
HG00128	HG00128
HG00130	HG00130
HG00135	HG00135
HG00109	HG00109
HG00111	HG00111
HG00116	HG00116
HG00123	HG00123
HG00096	HG00096
HG00142	HG00142
HG01774	HG01774
HG01779	HG01779
HG01700	HG01700
HG01705	HG01705
HG01762	HG01762
HG01767	HG01767
HG01781	HG01781
HG01786	HG01786
HG01748	HG01748
HG01755	HG01755
HG01334	HG01334
HG01531	HG01531
HG01536	HG01536
HG01632	HG01632
HG01668	HG01668
HG01670	HG01670
HG01620	HG01620
HG01625	HG01625
HG01613	HG01613
HG01618	HG01618
HG01524	HG01524
HG01529	HG01529
HG01675	HG01675
HG01682	HG01682
HG01601	HG01601
HG01606	HG01606
NA06984	NA06984
NA06989	NA06989
NA06991	NA06991
NA10839	NA10839
NA07045	NA07045
NA07348	NA07348
NA07014	NA07014
HG02224	HG02224
NA07019	NA07019
HG00119	HG00119
HG02229	HG02229
HG00121	HG00121
HG02231	HG02231
NA12842	NA12842
HG00126	HG00126
NA12873	NA12873
HG00099	HG00099
NA12878	NA12878
HG00102	HG00102
NA12892	NA12892
HG00107	HG00107
HG00138	HG00138
HG00140	HG00140
HG00145	HG00145
HG00253	HG00253
HG00258	HG00258
NA12828	NA12828
HG00260	HG00260
NA12830	NA12830
HG00171	HG00171
NA12760	NA12760
HG00176	HG00176
NA12777	NA12777
HG00239	HG00239
HG00114	HG00114
HG00246	HG00246
HG00133	HG00133
NA12739	NA12739
HG00157	HG00157
NA12753	NA12753
HG00152	HG00152
HG00183	HG00183
HG01763	HG01763
HG01768	HG01768
HG01770	HG01770
HG01674	HG01674
HG01679	HG01679
HG01681	HG01681
HG01612	HG01612
HG01617	HG01617
HG01624	HG01624
HG01629	HG01629
HG01686	HG01686
HG01698	HG01698
HG01775	HG01775
HG01782	HG01782
HG00244	HG00244
HG01631	HG01631
HG00249	HG00249
HG01667	HG01667
HG00251	HG00251
HG01756	HG01756
HG00174	HG00174
HG01701	HG01701
HG00263	HG00263
HG01706	HG01706
HG00268	HG00268
HG00186	HG00186
HG00232	HG00232
HG00179	HG00179
HG00181	HG00181
HG00270	HG00270
HG00275	HG00275
NA20826	NA20826
HG00256	HG00256
HG00112	HG00112
HG00237	HG00237
HG00282	HG00282
HG00383	HG00383
HG00369	HG00369
HG00243	HG00243
HG00371	HG00371
HG00248	HG00248
HG00376	HG00376
HG00250	HG00250
HG00147	HG00147
HG00154	HG00154
HG00319	HG00319
HG00178	HG00178
HG00321	HG00321
HG00180	HG00180
HG00357	HG00357
HG00185	HG00185
HG00364	HG00364
HG00159	HG00159
HG00326	HG00326
HG00173	HG00173
HG00338	HG00338
HG00262	HG00262
HG00345	HG00345
HG00267	HG00267
NA11930	NA11930
HG00236	HG00236
NA11992	NA11992
HG00255	HG00255
NA12003	NA12003
HG00231	HG00231
NA07340	NA07340
HG00104	HG00104
HG02223	HG02223
NA07345	NA07345
HG00274	HG00274
HG02230	HG02230
NA07357	NA07357
HG02235	HG02235
NA12046	NA12046
NA12058	NA12058
NA12274	NA12274
HG00344	HG00344
NA12286	NA12286
HG00349	HG00349
NA12154	NA12154
HG00351	HG00351
NA12248	NA12248
HG00356	HG00356
NA10831	NA10831
HG00313	HG00313
NA10836	NA10836
HG00318	HG00318
NA10843	NA10843
HG00320	HG00320
NA10850	NA10850
HG00325	HG00325
NA10855	NA10855
HG00332	HG00332
NA11891	NA11891
HG00368	HG00368
NA11839	NA11839
HG00375	HG00375
